date,rating,review_text,reviewer
3 weeks ago,4,"I’m currently living here, it is a friendly and safe place. The fire alarms definitely work 🚨, the study rooms are nice to do work in📚, and you can relieve some stress with a nice workout in the lobby gym. Maintenance is also conveniently easy to contact and Gavin always gets the job done well 🔥.",graciela andrada
a month ago,4,"I've lived at twin now for almost 6 months, and I love it here! Safe parking, quiet apartments, friendly staff. It's easily the best student housing for Binghamton students. My only complaint would be the package parcel system that sometimes doesn't give you codes for your packages or loses packages. I would definitely recommend living here.",Jen Sallin
a month ago,5,Love TRC! Staff are super nice and always help with anything right away. The lobby/gym are awesome places to hang out and my apartment came in perfect condition when I moved in. Best place to live in Binghamton!,Brett Kerley
4 months ago,4,TRC staff has been super helpful and accommodating when situations occur. I have had some maintenance requests that needed to be fulfilled and they have been coming the same day or reaching out within 24 hours to let me know when they will be coming.,Danielle Horowitz
3 weeks ago,5,"Although I’m not a resident yet, the staff at TRC has been nothing but helpful already as I was getting ready to sign my lease. They would always contact me asking if I needed any help with my application, went over the lease agreement with me, and were super nice when giving a tour!",Sarah Hedvat
a month ago,4,"TRC is a great place to live in Downtown Bing! The apartments and bedrooms are a good size and the building amenities are great (BBQ’s in courtyard, full gym, Starbucks machine in lobby, private study rooms, etc)! The building staff are generally helpful when an issue arises and are very friendly when walking by the office. The on-premise parking is definitely convenient especially being there are limited parking options throughout Downtown Bing",Benjamin Klein
a month ago,5,Great place to live! Always quick to respond to work orders which is great! Just one issue: pleaseeeee put ac on in the gym its always so humid in there.,Erica Moore
a year ago,1,"I have lived at twin for almost a year now. I honestly have not been pleased with my experience so far, but I do see improvements happening. My main concern is that this place is NOT worth the amount we pay for rent. My unit has had numerous problems, including a flood that was left unresolved for weeks. Previous management did little to fix any issues, but the new management seems to be better. Furniture in the unit is pretty old. There have been issues with heating, water, etc. In addition, renovations have been happening throughout the building for nearly my entire time living here. I find it ridiculous that I am paying such a large amount of money for amenities that I can’t even use. Currently, we are unable to use the gym, lobby area, computer room, and cafe.
On the positive side, the new management seems to be an improvement, and the CAs are very helpful and do the best they can given the current situation, especially Dom and Sim. The maintenance team is great, especially Rob, Jeff, and Lucky.
My main suggestion to Twin would be to prioritize the current residents rather than future ones. Renovations are great, but not during the school year when our VERY steep rent is going towards things we cannot use and units that are not worth the price.",Malyssa Sadler
7 months ago,1,"This is my third year living at TRC and the quality of this apartment has gone down tremendously. I would not recommend TRC and I think you can find other places for significantly less. The building just got taken over by new management that only cares about profit and NOT residents. Wifi is awful here, there is no parking or building security (unlocked doors and gates), printing/technology amenities no longer work as promised, they don’t noise take noise complaints seriously, and we are now charged for package pickup. We no longer are offered cable and when the cable box was taken from our apartment they left the doors and lights on. One of my roommates was also interested in parking and she was told that she would most likely receive a parking pass but they said the lot is full when it’s clearly not. We are extremely disappointed in TRC and it’s new management and we hope that they fix these issues soon.",Charlotte Heo
a year ago,2,"I’ve lived at Twin for about a year and a half, my experience has been neutral for the most part. The rent is extremely high for the amenities and quality of everything. There have been renovations all year, most of them were done poorly. They replaced the thermostat by covering the old one with a plate, ours was put on crooked, and then new one was randomly placed. They painted the hallways and one wall in the apartment, the paint job was done quickly and carelessly around the edges and doors. Management has always appeared careless, they seem to always have trouble connecting to higher ups which reflects poorly. There is always a money issue, whether being a refund check or getting your addendum properly added to the account. The appliances in the apartment are decent, the stove is old and doesn’t work properly. The wash and dryer are good, and a bonus is they are in your apartment. The dishwasher works well. The furniture is worn out and has holes or scratches. Nothing here is truly worth the amount of rent. However, some positives of living here are the CA’s, they are friendly and do all they can to help out. Maintenance is really quick and efficient, especially Jeff and Lucky!",Nikole Lockwood
