date,rating,review_text,reviewer
5 months ago,5,"Wonderful place to stay. It’s very close to BU. If weather is good I’m usually walking. And there is constantly shuttle and bus opportunities. There are lots of facilities that can be used. Eating places, 7/24 open study places, fitness. It is the best place to stay if you’re studying at BU.",Emre Demir
5 months ago,1,"When you lived in Uclub building. You must get suffered by the internet. It was lagging, the WiFi does not work normally. When you make a phone call to u club, they will let you call campus technology, when you call campus technology, they will let you wait, and just wait. You would never know what’s happen with the internet, and why it is lagging. The most terrible things is they would not help you to fixed it. Since this problems appear a month ago, and I still get suffered by it. Cannot playing any game and watch any video normally.",陈思睿
3 weeks ago,1,"I hate everything about this place. oven had no door for MONTHs. Every time we called maintenance they would “fix it,” the door would fall right back off and crush our feet as soon as it was used. thin walls, you will be woken up. Also, if you’re a busy person, you’ll never get your mail since you can only pick up 9-7. young, rude, and incompetent staff.",Shae Hassie
7 months ago,5,"This review is specifically for one of the people working at U Club. We had several issues with finalizing the lease for my daughter. The multiple issues had more to do with corporate than anything else. Throughout the entire process Izora was my point person and she was absolutely fabulous. Her customer service, personal attention and overall care were top shelf. I hope she would be recognized in some way because she is certainly deserving.",Ken Barer
8 months ago,1,"I don’t usually write reviews but every one star review about this place came to be true. It has been difficult from beginning to end with this place. They will find any possible way to charge you. This place was suppose to be a haven for students who enjoy the amenities provided for them but instead it became a headache and was definitely not worth it. If you have the option to live elsewhere, I would highly recommend doing so. The walls are paper thin and noise is definitely a problem which might keep you up at night. The managerial staff are just very nasty and not accommodating at all. I saw someone get charged 250$ for returning their key a few hours late. Ridiculous!",William Lin
6 months ago,1,"The management of this development is disgraceful.  It's actually a nice community with fine accommodations, but they take advantage of young people that feel disempowered.  My child had a lease through July 2022.  He left after school ended in May and before he could return to collect his belongings in July, the room was cleaned out.  To make a long story short, they offered a $40 gift card as compensation.  The Assistant General Manager, Caitlin Thompson, and the Area Manager, Kasandra Roberts, strong-armed a student to cover up the fact that they entered an apartment under lease and threw out all of the belongings stored there.  I have a long thread of emails showing their disregard for their actions and gaslighting a kid about what happened.  I recommend finding another place to live than U Club Binghamton.",Alan Heitner
6 months ago,1,"Don't live there you'll regret it. They try to scam you into paying endless fees and fake utility bills (which you have to pay or else they'll charge you late fees). The shuttle isn't running half the time and the staff is rude and useless. You're better off living in twin or literally anywhere else tbh. And i dont want anyone reaching out to me to speak to customer service. You guys should reach out to your own management specifically Aleesha Hunter. She is the rudest woman ive ever spoken to at Uclub (and i lived there for 3 years) and has zero customer service skills whatsoever. She was extremely rude to me and I don't appreciate that considering the fact that i was mannerly, polite, and professional towards. Idk who the hell she thinks is. Management should deal with her attitude and unprofessionalism. Also someone should teach her how to write a proper professional email with a heading while addressing customers needs properly. Jesus. She also tried to scam me into paying for a carpet stain that was there before I moved in and gave me attitude about it.",Kayla Deosaran
5 months ago,1,"EDIT: charged for not cleaning the stove when it was thoroughly cleaned. They provided a picture of the ""dirty"" stove in which the only parts that were noteworthy was the eroded paint on the bottom of the oven. Emailed them with this information to only be ignored twice. Uclub will do everything in its power to charge you for every last penny they can.

STAY AWAY FROM HERE. Walls are paper thin, so if you have a loud neighbor you will hear everything. I have been woken up numerous times at the dead of night by loud music even though I'm separated by one entire room from this neighbor (that room is empty, if someone actually lived there they would lose their mind). They have even woken me up at 3am during finals week. I have sent emails to the managers about the noise complaint and they don't even respond. This has been an ongoing problem for four months. It is not worth spending $900+ when you can't even get a good nights sleep.",Kelly Hu
7 months ago,1,"Look for incompetence in the dictionary, and Uclub Binghamton will show up. They'll charge you an arm and a leg for leaving a bag of green beans in the freezer, but when you put in a report of a defect they'll pretend they never saw it. I've called numerous times in the past about signing a 6 month lease(which they offer in limited stock) and they said that they don't do that here, then I called a few days later and apparently they were all sold out and that I would have to go on a waiting list behind 20 people all of a sudden, when just a few days ago they apparently didn't offer semester leases at all. I then asked if they could just allow one more 6 month lease for me, because they obviously don't sell all there apartments, and they would rather not fill the space than to lease it to me for 6 months. It's a shame because the place is nice, but management ruins it, and I'd honestly rather live in a shoe box as to not deal with their management.",Gianfranco Pulice
8 months ago,1,"Live at this place at your own risk! Their slogan ""you'll love it here"" is the biggest joke as the management does not have any regard for the students living there. Rent is extremely high, and for what?? For a pool that is only usable the last 2 weeks of the spring semester? A miniature gym with equipment that is constantly breaking down and always under repair? A golf simulator that is never used? And good luck negotiating with UClub if your apartment gets damaged due to circumstances out of your control. You are liable for everything that happens in the apartment whether it is actually your fault, and you can be sure that the entire up-charged cost of damages will be placed on you.  Don't bother fighting them because you will never win with them. For a living community that is supposed to be ""for students"" the management is only interested in getting as much money as possible from the tenants. They recently started charging for utilities and sewage, both of which never used to be included in the rent fee until the past 2 years, and become included as added fees in addition to the rent. Yes UClub is close to campus, but if you have a car, you have to pay for parking in addition to the campus parking fee. Furthermore, if you want to go downtown at night, the distance from campus couldn't be any further because there are no campus buses that stop at UClub to go downtown so you are left with taking Ubers, the costs of which skyrocket when you are trying to get home.

**To sum this all up, do NOT live here. If you want to live off campus, it is much less cheaper and much less of a hassle to find a house, or one of the apartment complexes, downtown.",Noah Mandelman
a year ago,2,"My daughter has been living in UClub apartment for 2 years. It’s nice that it’s mostly secure and clean. But what I don’t like is that the sidewalks are never shoveled or cleared of ice and snow! And the parking situation is ridiculous! I pay almost 900.00 per month for them to tell my daughter that she can not park in the lot without a parking sticker but when she asks for one, they “don’t have enough”! How do you NOT have enough parking stickers for all of your tenants?? We pay for an apartment that should include parking and she’s gotta worry about her vehicle being towed if she parks anywhere in the area. She recently had surgery and is unable to walk too far of a distance but she’s told she has No where to park!?! I will be contacting a lawyer if something happens to get out her vehicle!",Dusty Lanning
