date,rating,review_text,reviewer
6 months ago,5,First year here at Hawley and I am so far loving the experience. I lived on campus for the last two years and this is such a better living situation. Being right downtown and having the parking situation we have here is just amazing. I also love the rooms and being able to walk to good restaurants instead of having to order it online. Also I have seen some comments about management not being the best but I just want to say that anytime I have had an issue it has been fixed right after I raised attention to it.,Eamon Dillon
3 months ago,5,"20Hawley is one of the best places to live in downtown Binghamton. They have the kindest and most accommodating staff. They always want their residents to feel safe and happy in their living space. It is a great space for graduate and undergraduate students. The building feels luxury and classy, which I love. The amenities are great and they  keep the building clean which is very important. Living here is like living at home away from home. I highly recommend 20Hawley, 20/10! No need to think twice!",Brianna Pappas
6 months ago,5,"It’s a modern, exquisite looking building with a stunning view of downtown Binghamton from the inside. It’s a great building with many nice amenities and a friendly staff. I was very delighted to have met Noel Smith. He is a genuine, down-to-earth guy who is very helpful and made arranging my stay at 20 Hawley for next year a trouble-free. Highly recommend this place to anyone looking for an apartment to stay at in the area!",Matthew Glick
6 months ago,5,"Not only is it located in the most convenient part of of downtown Binghamton with access to some of the hottest restaurants and the bus stop, but the amenities provide all you could ask for. The gym is incredible and I love the JOE coffee bar. Also, the rooms are incredibly spacious, and well furnished. I would certainly recommend it!!",Ryan Reilly
6 months ago,5,One of the best apartments i have been around in the Binghamton area! Very updated and clean. Extremely convenient for being downtown and going to campus. A great place to look into if you want a nice comfortable living space. Totally recommend!,Danny Snow
3 months ago,5,"Best place to live in Binghamton for sure. Staff always there and are nice personable, approachable people. They always try and make sure your experience is best as can be. Amenities are great from the gym, to the coffee machine, to the study rooms and pool tables, gotta love it!",Joe Abbriano
6 months ago,5,"I had the best experience at Hawley. The staff is beautifully wonderful. The colors perfectly match a more modern, comfortable living space. This is what a living space should be all across the country. Perfection.",Ryan Lundrigan
3 months ago,5,20Hawley is the best place to live for undergrad and graduate students at Binghamton! It is such a nice off-campus living space and the staff is so welcoming and helpful! It feels like family here. I have been living at 20hawley for 2 years in my undergrad and it has seriously the best decision I made! The staff is very on top of accommodating their residents and it shows!,Alexis Pappas
6 months ago,5,Absolutely stunning apartment building. I could live in just the lobby and be completely satisfied for the year. Management has always taken care of me and I have experienced no speed bumps in my 2nd year living here. Highly recommend over other student housing downtown.,Ismail Lahbichi
6 months ago,5,"So glad I signed this place, the staff was extremely helpful, flexible, and really went above and beyond to meet our needs. Noel and the whole leasing team are easily the best in Binghamton. Highly recommend.",Connor Forte
6 months ago,5,This place is amazing. The staff work tirelessly to help with whatever you need. The apartments are phenomenal and the rooms are the best. Definitely worth the money!!,Tarif Sabur
3 months ago,5,Second year living at 20 Hawley and have nothing but good things to say! The prime location and amazing staff make this the perfect place to live while studying at Binghamton University.,Jasmine Volz
a year ago,5,"If you’re on the fence about where to live in Binghamton, choose 20 Hawley! From the spacious and comfortable study rooms, to the free gym downstairs, and most importantly the amazing staff that makes Hawley feel like home away from home, the place is amazing. The rooms are spacious and have great views of Binghamton. Not to mention it’s a great location in the heart of downtown Binghamton. There is underground parking so you don’t have to shovel out your car in the winter. Fit Kitchen is right next door and they’re building a Beer Tree adjacent to 20Hawley. Besides the sensitive fire alarms, (at least we know they work!) I have really loved my 2 years living at 20 Hawley.",Kayla McKiernan
