date,rating,review_text,reviewer
6 months ago,5,"I recently signed a lease to live at the printing house next year and couldn't be more excited. The staff are extremely friendly and helpful. Not to mention the amenities are incredible. It's located in the downtown area, which makes going to restaurants very convenient. Overall, I couldn't be happier about my choice to live here!",Lauren Siegel
5 months ago,1,"Absolute scam. Attention all Binghamton students, please stay away from The Printing House. They won't show you the apartments before signing the lease on purpose, they look nothing like the model room. The Printing House refuses to fix prominent issues such as internet access, working elevators, for god sakes we went the entire year without a working thermostat. Furthermore, Printing House charges almost all students with delirious ""damage"" fees at the end of the year and hide behind the fat legal jargon in their lease to stronghold students into paying. Mr. Jeffrey Horowitz is as unprofessional as they get, and is the perfect smooth brained pawn for these hijo de p...s to scam college students. Negate all the five star reviews, those are just written by the office workers.",Joseph Banovic
a year ago,1,"We leased the apartment without actually seeing it because it is apparently not allowed. When leasing they promised each one of us a window. However, when I got here I saw that my one and only window was 3 inches away from a brick wall. Not an ounce of sunlight can get through. I have never felt more cheated, and I am extremely upset. I would never rent here again, and I would not ever recommend the printing house to anyone trying to find housing in Binghamton. It is a scam.",Korina Kesler
7 months ago,2,"Seems like a nice place to live however overall it is not worth it. Management ignores problems in the buildings no matter how many work orders you send. Only one elevator worked the whole year, and the working one made such horrifying noises as if it was going to free fall at any second. Took forever to fix it and endangered students lives. There was even a day where no elevators were working which is super unsafe and unfair for people with disabilities. All this and they will charge you a ridiculous amount of fees when you move out. My room was less than 100 square feet and I was charged 200 dollars for a “wall repair” fee. Is paint that expensive? The pictures they used as “proof” were blurry and showed nothing. Overall save your money and go somewhere else.",Melanie Turner
a month ago,5,"Great views on the top floors, clean and modern. Favorite part is the golfing simulator which is super cool!",Justin Mott
2 months ago,2,"Don't believe everything you see immediately. The rooms are smaller than expected. The rent is high. There's a lot of amenities which is nice, but management is not good. At least one of the elevators has been consistently broken for three months. Wifi sometimes goes down for full days at a time. I had to move a bunch of stuff out of my apartment down seven flights of stairs during winter break.",Tyler Gilbert
a year ago,1,"The printing house seems to be a great place to stay, until you actually live there. The wifi hardly works which makes it very difficult to do school work. The heat and air hardly work and you have practically no control. The windows let in the cold winter air which makes the room very uncomfortable. Everything is very poorly done from the backsplash in the kitchen to the ripped couch cushions to the bathroom with no fan. I am not impressed for the hefty price tag on the apartment. The walls are incredibly thin and you can hear everything from the tv, music, shower and voices in other apartments. The security guards don’t do anything other than grab packages. You also have to pay a separate fee for parking. I would not recommend for any young college students to live here. Don’t waste your money.",Erin O'Neill
a year ago,5,"Great place to live for college students! The Printing House is a safe, cost-effective, and convenient place to live. Living in this building is a lot safer than leasing a house or other apartment downtown. It is in a good neighborhood. Not only is it near the bus stop, if you do not have a car, it is a walking distance to every hot spot Downtown. Also, the Printing House has many benefits included to make leasing easier for college students. The staff is also very reliable and friendly. I would highly recommend the Printing House to anyone looking for a place Downtown, but especially for college students!",Christina Coulton
6 months ago,5,"I really like printing house because i think the rooms are nice, the layout of the apartments are great, and the amenities are so useful that I feel like I never need to leave the complex.",Lara Marks
a year ago,5,"I recently signed a lease to live at The Printing House this upcoming fall, and I am so excited! The place is incredibly clean, spacious, and the amenities are amazing. It is also just an overall beautiful complex! When I went for a tour, the leasing agent was very friendly, knowledgable, and seemed very eager to help with any questions I had.",Sarah Tartell
a year ago,4,"I am happy to be living in this apartment next year because it is safe, clean and is the perfect location to live for college students. It is 10 minutes away from Binghamton University campus. The gym is also very nice and the workers are very understanding and helpful.",Daniela Iloulian
a year ago,5,"Hands down the best place to live at in Downtown Binghamton. Best part is that its affordable and my parents feel much more safer that im staying at the printing house. Twinriver, Ulofts, and Hawley were way out of my price range. The printing house Has everything that you need and the amenities are awesome and there are lot of them. I have been staying here for 2020-2021 school year and just renewed my lease for 2021-2022 school year💯. Amazing staff and management. They are always available if you have any type of problem and make sure you are satisfied with all the services that the printing house offers. Looking forward to another year!",Mohammad Haseeb
6 years ago,5,"My first year living at the printing house has been awesome. The staff and security guards are very receptive to any concerns and are always very friendly. The rooms are spacious and fully furnished. One of my favorite aspects about the Printing House is the location, it is one of the closest apartment buildings to State St. and in walking distance of numerous restaurants and places to go!",Victoria Weir
6 years ago,5,"I absolutely love The Printing House! The building is stunning and the units are so spacious and beautiful. The finishes are so trendy and modern, I can't believe that I am going to live in such an upscale apartment! The staff is so nice, they've answered every question and even spent time on the phone with my parents to reassure them on any concerns. One of the biggest selling points for me was the safety aspect: The Printing House has a security officer at the front desk 24/7. None of the other student apartments offer a security officer 24/7! I am so happy that I signed with The Printing House, I can't imagine living anywhere else!",Morgan Manganello
2 years ago,5,"I just signed my lease for 2021-2022 and am excited to start a new lifestyle living off campus. The lease was easy to fill out and communicating with the property manager was accessible for help. Touring the place went smoothly as well, we got see the sample sized apartments which gave a great perspective on how we can prepare for when move in time comes. I am excited to spend the next year at Printing House!",Carmen Foo
4 years ago,5,"I signed with the Printing House after searching for an affordable downtown housing option. The prices were very competitive and every room I've visited in each of their buildings was very clean and well taken care of. They are well furnished and stand out among the other downtown housing options. The Printing House is also located right next to some of the popular bars and restaurants. Any service request, question, or need from management/service was responded to immediately and professionally and I would definitely recommend the apartments to any prospective student or young professional.",Peter Schumejda
4 years ago,5,"I signed my lease at The Printing House August 2018. With the fall semester just about to start the leasing manager was still able to find me a room to not only live in but did everything he could to ensure I was satisfied with my room space. I love living here and it is one  of the best decisions I've ever made. The amenities are outstanding and staff here are welcoming , they make me feel safe. The area is also safe and convenient for college students who don't drive. You will be able to get a bus that'll take you everywhere. The Printing House sets college students up for adult living in the future. It gives you a sense of independency. Sign your lease today!",fatima holder
4 years ago,5,"I'm currently finishing up my lease at the Printing House for the 2017-2018 school year. I first signed when looking for an affordable downtown housing option and after looking at the model-room and the way each apartment was setup, my roommate and I instantly signed our two bedroom, two bathroom apartment. Spacious, enough natural lighting and a full size kitchen was perfect for us. Parking is close-by and the staff is very courteous.",Tara Dulak
4 years ago,4,"The Printing House has been a satisfying living experience and my roommate and I decided to live here again next year. The security is top notch and leaves me feeling safe without any worries which I can't say for many other apartment communities in the downtown Binghamton area. There are so many restaurants and shops within walking distance that make social life convenient. Noel on the leasing staff has been exceptionally welcoming and helpful, always answering any questions or concerns immediately, as well as being a friendly face who always wants to ensure the residents are comfortable and happy in their living community.",Megan Reilly
a year ago,5,The maintenance staff at The Printing House is incredible. They did a phenomenal job getting my son's apartment ready for an early move in date. Best residential building in Binghamton by far. Thanks guys!!!,Laura Homler
